Time_s,Current_A,Temperature_K,Voltage_V,SoC_pc
0.0,3.1984834498310155,283.2936904050426,3.7637220517791317,0.5940311247236548
10.0,3.6437813979083455,285.1251197548482,3.7367621686692334,0.5924004122884234
20.0,4.610778673704202,282.7802710828904,3.7033692071444904,0.5904323444597745
30.0,4.929406801679302,279.0295027780824,3.684269190025401,0.58815835955042
40.0,3.4460812491460255,279.2879640487081,3.707263393054543,0.5861624296752225
50.0,1.4245929031654017,282.7034444344686,3.765145000626439,0.5850017366017324
60.0,1.2390705916895026,282.9790267345647,3.7765105295967842,0.5843669945473511
70.0,2.944969696825654,278.27045953428313,3.72383749080832,0.5833696770334275
80.0,4.158991241475084,274.77136924979493,3.688671395669667,0.5816761225103021
90.0,3.649235320378799,277.6059444633378,3.6919617955400237,0.5798152794355124
100.0,3.0234323561045633,282.4606584216068,3.7032000607079176,0.5782249884202211
110.0,3.8306468967264435,281.35006212795406,3.681202095356233,0.5765913018309212
120.0,4.788975225355834,274.7534358174545,3.654210917800739,0.5745367507330011
130.0,3.7504245007093617,271.74016041886557,3.669236529513106,0.5725017099182343
140.0,1.3848829190486347,276.8551728764208,3.7364853579942388,0.5712779322071443
150.0,0.6286969779241067,282.81998815795583,3.7748705396507063,0.5707981981807522
160.0,2.5270641534842198,280.5900704621328,3.7116764261619544,0.5700459032991771
170.0,4.772189170456576,272.7623578238901,3.6532990942592845,0.5683061107827475
180.0,5.032500317149671,270.43592930760394,3.63618873349185,0.5659692841192678
190.0,3.8752396547584995,277.2961841729095,3.652380945130546,0.5638467311663125
200.0,3.1611383994261217,283.8716210619431,3.6674144731552225,0.5621699258710305
210.0,3.059325088144857,280.8380356810856,3.669919269977809,0.560687492341158
220.0,2.490422287369077,272.54614150888614,3.6849418781862378,0.5593650757282147
230.0,1.6846515527837214,271.06244501207016,3.7115596336039856,0.5583702660228411
240.0,2.111473808196303,278.95058643900404,3.70062439354225,0.5574654557327394
250.0,3.8181767744311044,285.5073478065711,3.65449178881428,0.5560519747475066
260.0,4.873719049212032,281.99014303171623,3.6236842073751534,0.5539802228333202
270.0,4.16865655106823,274.0315553645053,3.6294607323200725,0.5518252479113835
280.0,3.0537105123347827,273.4935994851007,3.6522951241167325,0.5501042168572265
290.0,3.0453767175934,281.58973038767294,3.652910952845959,0.5486506320966182
300.0,3.3740570096126636,287.43282950431677,3.6438212772585947,0.5471203955865624
310.0,2.532257100545103,283.7223099763568,3.664288261109049,0.5457129409544219
320.0,1.2910669070073206,276.84650907393916,3.7068867399867615,0.5448018944267702
330.0,1.9260479603735203,277.3009221908176,3.6895605490123216,0.5440349426117909
340.0,4.477814931945194,284.7751053779801,3.622741626742333,0.5425085605485154
350.0,6.044070608976208,289.22449904254,3.5799724145071083,0.5400006209881025
360.0,4.667749913346367,285.5608928847989,3.5942265356689047,0.537447914253823
370.0,2.1087493249414084,280.39928731117965,3.655630155177745,0.5358329981687927
380.0,1.3073119282327985,281.836186289258,3.689565876626088,0.5350190453814241
390.0,2.4223839984237556,287.9423662140503,3.6588957070098234,0.5341300683265826
400.0,3.2807027937616815,290.4197378059894,3.634898587176357,0.5327704920989909
410.0,3.027392742170308,286.9871511198355,3.637559104943721,0.5312672275252927
420.0,3.0594751113355514,283.9976233380256,3.634784042098381,0.5298163280327639
430.0,4.153943262863661,286.35255234536476,3.6059838264640067,0.5280968237488513
440.0,4.865554256355265,290.51192189586794,3.583841982443931,0.5259460266418725
450.0,3.856235210920083,290.6214686044659,3.59870442085632,0.5238677447817042
460.0,2.185357928905502,287.553812183061,3.6414646554938876,0.5224281794616196
470.0,1.749583995631012,286.98388460495534,3.660064441294913,0.5214904743712621
480.0,2.505422755439348,290.140522022344,3.6408361088773464,0.5204762715939328
490.0,2.996863527433385,292.0035693330817,3.6268256432737127,0.5191647586105972
500.0,3.028344180879618,289.5947086113074,3.6235753732058935,0.5177287299618025
510.0,3.753973710417913,286.9892464797992,3.603374090809419,0.5161120824751944
520.0,5.04498561517072,288.85975401802426,3.569903112747099,0.5140147849750495
530.0,4.94542263302488,292.6525484351894,3.563065073132468,0.5116338525323348
540.0,2.717181472487489,292.13183896854815,3.6099084341778456,0.5098077840172787
550.0,0.6524725353506555,287.333736140674,3.6835286277220103,0.5090048504084562
560.0,1.2307801876126667,285.26695309144463,3.670788264571712,0.5085558988421631
570.0,3.593180073490116,289.37618757437934,3.605055642188923,0.5074060978696527
580.0,4.77394671448985,293.59289652711567,3.571919545777222,0.5054114182882692
590.0,3.9110749715038775,290.8626892747057,3.5820577750247393,0.5033416044485424
600.0,3.0605659257137545,284.0841712736363,3.599621986191236,0.5016802167111376
610.0,3.6162290515700692,282.6248797704713,3.5859943047853933,0.5000888300155768
620.0,4.158174476251446,288.5716062496161,3.570699275631404,0.49823595967157097
630.0,3.0339081647310264,292.95665377764254,3.5934608994924107,0.4965220725396776
640.0,1.33094308665125,288.4201151183411,3.6455354227025887,0.4954821186620893
650.0,1.3999724606013828,280.3133360144533,3.6495741963043082,0.4948312480984825
660.0,3.3073840051706145,279.52920280348917,3.5973083350420625,0.49370925532934473
670.0,4.7948088342382675,286.75177855022014,3.5586291232854954,0.49177796703807325
680.0,4.584845244914425,291.012140850418,3.5543288426242556,0.4895426288600701
690.0,3.736860216532828,285.24148329978175,3.5677732815930114,0.4875596046655418
700.0,3.346745526756676,276.6329062940476,3.575573936868322,0.4858719949117673
710.0,2.8642756915566325,276.58854595357826,3.587247755564846,0.48439253065590104
720.0,1.7794438940465849,284.4165531064209,3.6194347877943427,0.48328596188008077
